`^31`R174`1037`01.11.2025`22.02`04.11.2025`23.54`44`696`0,00`487`17613,00`315,00`17928,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0`0,00`0,00`0,00`1268`0`444152,50`443837,48`315,00`19663`19619`44`473071`472375`696`329904`329417`487`9223465,60`9205853,00`17613,00`22:02 01,11,2025`23:54 04,11,2025`0,00`0,00`0,00`17928,00`7203,00`0,00`0,00`0`0,00`0,00`0,00`10725,00`17613,00`-6888,00`0`0`0`0`0`0`39,82`0,00`924886,08`0,00`0,00`0,00`56901,35`0,00`0,00`0,00`1920,92`0,00`0,00`745,00`12000,00`6,00`10,00`12,00`0,00`0,00`0,00`6,00`0,00`0,00`0,00`922900817`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`16007,08`1920,92`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`315,00`315,00`0,00`0,00`0,00`0,5`0,0`0,00`84076`119080`146853`68648`zz29283`44`0`0`0`0`0`0`315,00`17613,00`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`16007,00`0,00`@11~31
`^31`R174`1037`05.11.2025`00.02`09.11.2025`14.53`33`694`0,00`539`15713,00`30,00`15223,00`0,00`502,00`0,00`0,00`0,00`0,00`0,00`0`0,00`0,00`0,00`1269`0`444182,50`444152,50`30,00`19696`19663`33`473765`473071`694`330443`329904`539`9239178,00`9223465,60`15713,00`00:02 05,11,2025`14:53 09,11,2025`0,00`502,00`0,00`15223,00`6116,00`0,00`0,00`0`0,00`0,00`0,00`9609,00`15695,00`-6086,00`0`0`0`0`0`0`39,82`0,00`926570,92`0,00`0,00`0,00`56901,35`0,00`0,00`0,00`1684,84`53,76`0,00`745,00`12018,00`6,00`10,00`12,00`0,00`0,00`0,00`6,00`0,00`0,00`0,00`922900817`0,00`0,00`0,00`0,00`0,00`0,00`0,00`18,00`0,00`0,00`0,00`0,00`14040,16`1684,84`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`30,00`30,00`0,00`0,00`0,00`0,5`0,0`0,00`64199`144192`254836`50170`zz29283`33`0`0`0`0`0`0`30,00`15193,24`501,76`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`13592,00`53,76`@11~31
`^31`R174`1037`10.11.2025`08.28`12.11.2025`16.03`41`688`0,00`607`16253,00`4060,00`16288,00`4000,00`25,00`0,00`0,00`0,00`0,00`0,00`0`0,00`0,00`0,00`1270`0`448242,50`444182,50`4060,00`19737`19696`41`474453`473765`688`331049`330443`607`9255432,00`9239178,00`16253,00`08:28 10,11,2025`16:03 12,11,2025`4000,00`25,00`0,00`16288,00`6544,00`0,00`0,00`0`0,00`0,00`0,00`9769,00`16253,00`-6484,00`0`0`0`0`0`0`39,82`0,00`928747,36`0,00`0,00`0,00`56901,35`0,00`0,00`0,00`2176,44`431,22`0,00`745,00`12018,00`6,00`10,00`12,00`0,00`0,00`0,00`6,00`0,00`0,00`0,00`922900817`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`18136,56`2176,44`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`60,00`60,00`0,00`0,00`0,00`0,5`0,0`0,00`76617`106901`93224`68512`zz29283`41`0`0`0`0`0`0`60,00`16228,36`24,64`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`14543,00`431,22`@11~31
`^31`R174`1037`13.11.2025`08.19`17.11.2025`08.59`38`709`0,00`622`16858,00`0,00`16735,00`0,00`122,00`0,00`0,00`0,00`0,00`0,00`0`0,00`0,00`0,00`1271`0`448242,50`448242,50`0,00`19775`19737`38`475162`474453`709`331671`331049`622`9272289,00`9255432,00`16858,00`08:19 13,11,2025`08:59 17,11,2025`0,00`122,00`0,00`16735,00`6724,00`0,00`0,00`0`0,00`0,00`0,00`10133,00`16857,00`-6724,00`0`0`0`0`0`0`39,82`0,00`930553,51`0,00`0,00`0,00`56901,35`0,00`0,00`0,00`1806,15`13,08`0,00`745,00`12019,00`6,00`10,00`12,00`0,00`0,00`0,00`6,00`0,00`0,00`0,00`922900817`0,00`0,00`0,00`0,00`0,00`0,00`0,00`1,00`0,00`0,00`0,00`0,00`15050,85`1806,15`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,00`0,5`0,0`0,00`83991`123815`224172`76199`zz29283`38`0`0`0`0`0`0`0`16734,92`122,08`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`14942,00`13,08`@11~31
